確度,営業担当,技術担当,営業/技術,旧部門,部門,案件名,内外,BIZ,ソリューション識別,サービスライン名,"汎用識別
AOコード",汎用識別名,請求先,ヒト・モノ,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
A0,和田,佐藤,営業,EIS,SOL,Ci*X カネカ Ci*X導入　★集約リスト参照,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,500000,0,0,0,486937,13063,0.026,500000,,,,472853,27147,0.054,500000,0,0,0,342850,157150,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A1,和田,佐藤,営業,EIS,SOL,Ci*X カネカ Ci*X導入（Step2）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,1050000,0,0,0,826747,223253,0.213,525000,,,,390803,134198,0.256,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C0,和田,佐藤,営業,EIS,SOL,Ci*X カネカ Ci*X導入（子会社1社対応）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,1575000,,,,1172408,402593,0.256,,,,,,0,0,,,,,,0,0,1575000,,,,1172408,402593,0.256
C0,和田,佐藤,営業,EIS,SOL,Ci*X ダイフク Ci*X導入,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,0,0,0
D,和田,佐藤,営業,EIS,SOL,Ci*X気合① 導入支援(既存メンバ),内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,2836500,1005000,0,0,798377,1033123,0.364
D,和田,佐藤,営業,EIS,SOL,Ci*X気合② 導入支援(TP追加),内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,1600000,1800000,0,0,0,-200000,-0.125,,,,,,0,0,,,,,,0,0,2400000,1800000,0,0,0,600000,0.25
D,和田,佐藤,営業,EIS,SOL,Ci*X気合③ 導入支援,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,根来,藤川,営業,EIS,SOL,インフラ保守　★集約リスト参照,外,CIT,SI・BI／ヒト／継続,6b 情報機器･その他ｿﾌﾄ保守,999,指定なし,多数,モノ,64083,0,50652,0,0,13431,0.21,64083,0,50652,0,0,13431,0.21,64083,0,50652,0,0,13431,0.21,64083,0,50652,0,0,13431,0.21,64083,0,50652,0,0,13431,0.21,64083,0,0,50652,0,13431,0.21,64086,0,0,50648,0,13438,0.21,64083,0,0,50646,0,13437,0.21,64083,0,0,50652,0,13431,0.21,64083,0,0,50652,0,13431,0.21,64083,0,0,50652,0,13431,0.21,64083,0,0,50652,0,13431,0.21
A0,根来,藤川,営業,EIS,SOL,ソフトライセンス【富士ケミカル様向け Adobe Illustrator】　★集約リスト参照,外,CIT,SI・BI／ヒト／継続,6a 情報機器･その他ｿﾌﾄ販売,999,指定なし,富士ケミカル,モノ,3742,0,0,3591,0,151,0.04,3742,0,3591,0,0,151,0.04,3742,0,3591,0,0,151,0.04,3742,0,3591,0,0,151,0.04,3738,0,3589,0,0,149,0.04,3742,0,0,3591,0,151,0.04,3742,0,0,3591,0,151,0.04,3742,0,0,3591,0,151,0.04,3742,0,0,3591,0,151,0.04,3742,0,0,3591,0,151,0.04,3742,0,0,3591,0,151,0.04,3742,0,0,3591,0,151,0.04
A0,根来,藤川,営業,EIS,SOL,定常保守作業(PORTNeT保守)　★集約リスト参照,外,CIT,SI・BI／ヒト／継続,4b ｿﾌﾄ商品保守ｻｰﾋﾞｽ,403,SS/Port,多数,ヒト,507089,0,201896,0,128141,177052,0.349,507095,0,201896,0,92264,212935,0.42,507089,0,201900,0,85908,219281,0.432,507089,0,201896,0,95100,210093,0.414,507089,0,201896,0,96491,208702,0.412,507089,0,0,201896,195401,109792,0.217,507089,0,0,201896,195401,109792,0.217,507089,0,0,201896,195401,109792,0.217,507089,0,0,201896,195401,109792,0.217,507089,0,0,201896,195401,109792,0.217,507115,0,0,201900,195401,109814,0.217,507089,0,0,201896,195401,109792,0.217
