技術担当部署,案件責任,営業/開発担当者,確度,プロジェクト名,S/L,AOコード,AOコード名,セグメント,請求先,内外,カテゴリ,ヒト/モノ,新規・継続,サービスCD,サービス名,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
ＯＰＣ,,,,(AOSMSサービス）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＯＰＣ,開発,藤後,A0, iCollex AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1
ＯＰＣ,開発,藤後,A0,日経数値データAPI AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,19000,0,0,0,0,19000,1,19000,0,0,0,0,19000,1,19000,0,0,0,0,19000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ＯＰＣ,開発,藤後,A0,日経ValueSearch向け  AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1,80000,0,0,0,0,80000,1
ＯＰＣ,開発,藤後,A0,ANAカーゴ様向け AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1,24000,0,0,0,0,24000,1
ＯＰＣ,開発,藤後,A0,MFS様向け  AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1,994000,0,0,0,0,994000,1
ＯＰＣ,開発,藤後,A0,ANA様AGMC向け  AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,109000,0,0,0,0,109000,1,109000,0,0,0,0,109000,1,48000,0,0,0,0,48000,1,48000,0,0,0,0,48000,1,48000,0,0,0,0,48000,1,40000,0,0,0,0,40000,1,40000,0,0,0,0,40000,1,40000,0,0,0,0,40000,1,40000,0,0,0,0,40000,1,40000,0,0,0,0,40000,1,40000,0,0,0,0,40000,1,40000,0,0,0,0,40000,1
ＯＰＣ,開発,藤後,A0,STR PAS向け  AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,BS,ISID,内,OPC,ヒト,継続,B15,STRAVIS（クラウド）,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1,13600,0,0,0,0,13600,1
ＯＰＣ,開発,藤後,A0,AIRDO様向け AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1,65000,0,0,0,0,65000,1
ＯＰＣ,開発,藤後,A0,ACXEL向け  AOSMS手順書実行,5b ｾﾝﾀｰ利用型運用保守サービス,103,AOSMS,EIT,ISID,内,OPC,ヒト,継続,B5C,SAP関連その他,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1,15000,0,0,0,0,15000,1
